Stations ID; Zeit; QUALITAETS_NIVEAU; STRUKTUR_VERSION; Lufttemperatur [Grad C]; Relative Luftfeuchte [%]; eor                                                                                                                                                                                                                                                                 
    13667;  2020030414;   2;0;   10.1;   43;eor                                                                                                                                                         
    13667;  2020030415;   2;0;   10.4;   38;eor                                                                                                                                                         
    13667;  2020030416;   2;0;   10.2;   40;eor                                                                                                                                                         
    13667;  2020030417;   2;0;    9.5;   44;eor                                                                                                                                                         
    13667;  2020030418;   2;0;    8.6;   51;eor                                                                                                                                                         
    13667;  2020030419;   2;0;    7.2;   59;eor                                                                                                                                                         
    13667;  2020030420;   2;0;    6.3;   63;eor                                                                                                                                                         
    13667;  2020030421;   2;0;    5.8;   63;eor                                                                                                                                                         
    13667;  2020030422;   2;0;    5.6;   64;eor                                                                                                                                                         
    13667;  2020030423;   2;0;    5.8;   64;eor                                                                                                                                                         
    13667;  2020030500;   2;0;    6.3;   62;eor                                                                                                                                                         
    13667;  2020030501;   2;0;    6.3;   67;eor                                                                                                                                                         
    13667;  2020030502;   2;0;    6.7;   69;eor                                                                                                                                                         
    13667;  2020030503;   2;0;    6.8;   73;eor                                                                                                                                                         
    13667;  2020030504;   2;0;    7.0;   78;eor                                                                                                                                                         
    13667;  2020030505;   2;0;    8.7;   78;eor                                                                                                                                                         
    13667;  2020030506;   2;0;    8.4;   82;eor                                                                                                                                                         
    13667;  2020030507;   2;0;    7.9;   87;eor                                                                                                                                                         
    13667;  2020030508;   2;0;    7.9;   86;eor                                                                                                                                                         
    13667;  2020030509;   2;0;    8.2;   83;eor                                                                                                                                                         
    13667;  2020030510;   2;0;    8.0;   81;eor                                                                                                                                                         
    13667;  2020030511;   2;0;    7.9;   81;eor                                                                                                                                                         
    13667;  2020030512;   2;0;    8.3;   84;eor                                                                                                                                                         
    13667;  2020030513;   2;0;    8.6;   88;eor                                                                                                                                                         
    13667;  2020030514;   2;0;   10.3;   83;eor                                                                                                                                                         
    13667;  2020030515;   2;0;   11.7;   76;eor                                                                                                                                                         
    13667;  2020030516;   2;0;   12.3;   74;eor                                                                                                                                                         
    13667;  2020030517;   2;0;   11.0;   82;eor                                                                                                                                                         
    13667;  2020030518;   2;0;    9.7;   83;eor                                                                                                                                                         
    13667;  2020030519;   2;0;    8.9;   79;eor                                                                                                                                                         
    13667;  2020030520;   2;0;   10.2;   66;eor                                                                                                                                                         
    13667;  2020030521;   2;0;   10.7;   64;eor                                                                                                                                                         
    13667;  2020030522;   2;0;   10.8;   64;eor                                                                                                                                                         
    13667;  2020030523;   2;0;    9.7;   69;eor                                                                                                                                                         
    13667;  2020030600;   2;0;    8.1;   71;eor                                                                                                                                                         
    13667;  2020030601;   2;0;    7.9;   71;eor                                                                                                                                                         
    13667;  2020030602;   2;0;    7.8;   71;eor                                                                                                                                                         
    13667;  2020030603;   2;0;    7.5;   70;eor                                                                                                                                                         
